X Coordinate,Y Coordinate
0.50787,0.266146
0.506944,0.296875
0.501389,0.310156
0.509259,0.264583
0.494444,0.29974
0.494907,0.261719
0.268981,0.717969
0.488426,0.292969
0.507407,0.258854
0.508796,0.310677
0.501389,0.297135
0.509722,0.283333
0.489352,0.288802
0.518981,0.296875
0.512037,0.293229
0.478704,0.294792
0.505093,0.305729
0.511574,0.263281
0.467593,0.284115
0.425,0.714323
0.509722,0.275
0.5,0.257292
0.49537,0.310156
0.512963,0.276302
0.497222,0.25599
0.474537,0.286719
0.5,0.292448
0.479167,0.285937
0.480093,0.2875
0.51713,0.261719
0.495833,0.283073
0.525,0.295573
0.486574,0.296875
0.485185,0.2875
0.528241,0.281771
0.475,0.285417
0.472222,0.30625
0.511574,0.26224
0.949537,0.938542
0.951852,0.942708
0.5,0.309375
0.50787,0.300521
0.0680556,0.257292
0.496296,0.288542
0.492593,0.288281
0.951389,0.940365
0.510648,0.263021
0.508333,0.295052
0.266204,0.748698
0.49537,0.286458
0.50463,0.311719
0.481019,0.286198
0.512037,0.31224
0.486111,0.28724
0.505093,0.291667
0.491667,0.252865
0.50787,0.277865
0.52037,0.295573
0.518056,0.278385
0.505093,0.259635
0.075463,0.263281
0.512037,0.279687
0.512037,0.316927
0.500926,0.288802
0.506944,0.292448
0.490278,0.29349
0.506944,0.257812
0.521296,0.269792
0.50787,0.29375
0.491204,0.291667
0.511111,0.259375
0.522222,0.283854
0.514815,0.29401
0.502778,0.260417
0.505556,0.297135
0.490741,0.256771
0.5,0.261198
0.500463,0.289844
0.475463,0.288281
0.514815,0.288542
0.0597222,0.252083
0.494444,0.290625
0.514815,0.319531
0.505093,0.268229
0.500926,0.261198
0.484259,0.284896
